time_period,season,ccg_nm,adn_dgnm,sex_cd,age_group,trns_cnt,ttl_trns_amt,업종 대분류
0.0,0.0,0.2913993618949017,0.23067499100689695,1.0,3.0,3,116500,한식
2.0,2.0,0.2929614705730089,0.28228038954164497,1.0,4.0,3698,120356260,한식
2.0,0.0,0.34419277266060255,0.39524860153473246,1.0,2.0,41,354000,양식
2.0,0.0,0.28516829945536093,0.27702224947919124,1.0,8.0,11,291500,한식
1.0,1.0,0.2972852490943584,0.31114391871804425,0.0,4.0,72,241400,한식
1.0,0.0,0.2964279505003217,0.33730614323208624,1.0,5.0,22,135300,양식
0.0,3.0,0.3431231134600117,0.27380387933967365,0.0,3.0,2,37030,양식
2.0,1.0,0.28750835805659214,0.26818174663538424,1.0,2.0,9,201000,중식
2.0,1.0,0.2913993618949017,0.34362952330636837,1.0,7.0,7,129200,중식
2.0,3.0,0.29195415351557913,0.26677216016833016,0.0,1.0,15,478230,한식
2.0,3.0,0.28750835805659214,0.251767850458203,1.0,1.0,12,244200,중식
1.0,2.0,0.2937105638666578,0.29007368128560207,0.0,7.0,6,19400,양식
2.0,3.0,0.3113035890430504,0.2585428661718651,1.0,2.0,147,4186340,한식
1.0,1.0,0.2898135303892191,0.289753882294444,1.0,5.0,1,7500,중식
2.0,0.0,0.31501210362201376,0.36859326598839787,1.0,5.0,3,164000,주점
2.0,2.0,0.2923097039804287,0.27510542557403955,1.0,3.0,811,33324070,한식
2.0,2.0,0.29683861582708165,0.33169634675828524,0.0,6.0,49,1663000,중식
2.0,1.0,0.28943273899943706,0.27165600490708064,0.0,4.0,8,550000,일식
2.0,2.0,0.2867365272480098,0.26183508235034597,1.0,5.0,665,4558700,양식
2.0,1.0,0.2972852490943584,0.25820862017787616,1.0,5.0,1089,32097830,한식
2.0,3.0,0.28516829945536093,0.30503975748249895,0.0,2.0,53,1983300,한식
2.0,2.0,0.30389048939083074,0.33125769744731437,0.0,2.0,1,10000,일식
1.0,3.0,0.29195415351557913,0.26448450666135503,1.0,4.0,142,471300,양식
2.0,2.0,0.28750835805659214,0.28432761744099894,0.0,6.0,1210,30856880,한식
2.0,3.0,0.284605236366718,0.2935944128168197,1.0,5.0,13,252000,주점
0.0,2.0,0.28541885793426114,0.25795292684059035,0.0,3.0,1,28500,주점
2.0,0.0,0.30789741395079523,0.5149365551012999,0.0,5.0,6,113500,한식
1.0,3.0,0.2917792185458611,0.3699887853081153,0.0,2.0,2,3500,양식
2.0,3.0,0.305415244921692,0.2657397518478158,1.0,6.0,1,57000,주점
2.0,0.0,0.2923097039804287,0.2215904563012397,1.0,1.0,16,77000,양식
2.0,1.0,0.303952054156296,0.3083579454175705,1.0,5.0,23,711400,주점
0.0,3.0,0.2923097039804287,0.26770307541199057,1.0,7.0,1,6500,양식
2.0,2.0,0.3113035890430504,0.3772770861060571,0.0,8.0,23,510800,한식
2.0,0.0,0.305415244921692,0.527107277255506,0.0,7.0,3,57000,한식
0.0,3.0,0.29683861582708165,0.34398594658698217,1.0,4.0,1,68000,주점
2.0,1.0,0.2921139805953464,0.2963004291771869,0.0,3.0,1543,11446120,양식
2.0,2.0,0.2936341644493487,0.34687101975513707,1.0,6.0,21,231000,중식
2.0,0.0,0.3033485583126569,0.28296783728244634,0.0,6.0,1,7600,양식
1.0,2.0,0.2936341644493487,0.2918911727077667,1.0,4.0,871,2800100,양식
2.0,2.0,0.2898135303892191,0.3014857956912012,1.0,2.0,173,3165300,한식
2.0,2.0,0.2671829960159548,0.26258855509913603,1.0,2.0,317,2173350,양식
2.0,2.0,0.2964279505003217,0.26396131643127896,0.0,1.0,3,5200,양식
2.0,3.0,0.2898135303892191,0.257316525065891,1.0,2.0,1,28000,일식
0.0,0.0,0.2964279505003217,0.2533324200719529,0.0,5.0,6,108000,한식
2.0,3.0,0.3065805591113989,0.2668021673859358,1.0,3.0,25,503500,주점
1.0,0.0,0.32363698950215347,0.2896580528600521,0.0,4.0,10,54730,양식
2.0,1.0,0.34824423527975024,0.2964456440911984,1.0,3.0,42,1034200,일식
2.0,3.0,0.30770967361599655,0.25149315692132973,0.0,8.0,11,193600,한식
2.0,3.0,0.3101262549446101,0.5084912080502116,0.0,8.0,1,18000,한식
2.0,3.0,0.28278421402254517,0.3419580736946609,0.0,3.0,542,5530820,양식
2.0,3.0,0.29165482142116217,0.28712853367784974,1.0,6.0,108,927100,양식
1.0,3.0,0.305415244921692,0.26129533359076695,1.0,6.0,7,59100,양식
2.0,3.0,0.2913993618949017,0.28368415609115266,0.0,1.0,13,188400,한식
1.0,0.0,0.2937105638666578,0.34674261211399426,1.0,7.0,1,9000,한식
1.0,0.0,0.2873508808325221,0.2601365689914712,0.0,3.0,4,53700,한식
0.0,0.0,0.27415616473949106,0.2467731495408531,1.0,3.0,4,176600,양식
2.0,2.0,0.30296230924336176,0.24926310064361143,1.0,6.0,19,635800,주점
2.0,3.0,0.305415244921692,0.3121202718241811,1.0,1.0,5,93000,한식
2.0,2.0,0.29038316002014286,0.41630038821680126,1.0,3.0,84,1666300,한식
1.0,3.0,0.2731117557402044,0.28937919332915363,0.0,5.0,2,28000,한식
2.0,0.0,0.2972852490943584,0.2909315835565749,0.0,5.0,63,2550400,일식
2.0,3.0,0.2937105638666578,0.34674261211399426,0.0,2.0,9,211500,중식
1.0,0.0,0.30770967361599655,0.30731465492935744,1.0,4.0,19,340000,한식
2.0,1.0,0.28767894699321445,0.29290482678516155,1.0,5.0,197,3753300,중식
2.0,0.0,0.30770967361599655,0.34425417142660936,0.0,5.0,243,1785500,양식
1.0,0.0,0.28767894699321445,0.3046884068471881,1.0,3.0,5,64500,한식
0.0,2.0,0.3095515114886265,0.4163704630361504,1.0,2.0,2,6700,양식
2.0,1.0,0.2917792185458611,0.3434895839443881,1.0,2.0,6,145400,일식
2.0,1.0,0.2965232184357257,0.4233985824277658,0.0,6.0,221,1427900,양식
2.0,0.0,0.2831385549572643,0.2490962941555864,0.0,8.0,4,103000,한식
2.0,1.0,0.2720512816603624,0.2612090354234408,0.0,5.0,66,2336500,일식
0.0,3.0,0.2917792185458611,0.28326412380205857,1.0,5.0,15,536200,한식
2.0,2.0,0.284605236366718,0.2599774619326858,0.0,4.0,172,3692600,중식
2.0,2.0,0.3410034126156774,0.2952831168984704,0.0,2.0,18,449600,일식
1.0,2.0,0.2929614705730089,0.28228038954164497,0.0,2.0,1,39500,일식
2.0,1.0,0.30770967361599655,0.36322074099419405,0.0,5.0,1430,13012070,양식
0.0,2.0,0.2909647861804005,0.2660606383054931,0.0,7.0,1,26300,주점
0.0,0.0,0.31370792391557334,0.265561928875519,1.0,6.0,11,125000,한식
2.0,3.0,0.30698078241469223,0.2520028435399477,0.0,5.0,36,1328300,주점
1.0,0.0,0.2965232184357257,0.2827595831368541,0.0,2.0,152,509100,한식
1.0,1.0,0.30239157546187706,0.2748903862757272,1.0,3.0,5,100300,한식
